osm_type,osm_id,nvrid,name,wikidata,lat,lon,tags
way,197236458,,,,58.5548894,15.0842819,"{'boundary': 'protected_area', 'wetland': 'marsh'}"
way,197450855,,,,58.5563793,15.0723897,{'boundary': 'protected_area'}
way,197450975,,,,58.5571049,15.0739654,{'boundary': 'protected_area'}
way,197640059,,,,58.5536298,15.0445953,{'boundary': 'protected_area'}
way,197640114,,,,58.553626,15.0484149,{'boundary': 'protected_area'}
way,198515217,,,,58.5382347,15.099693,{'boundary': 'protected_area'}
way,198567457,,,,58.5541401,15.0274587,"{'boundary': 'protected_area', 'source': 'bing'}"
way,198612296,,,,58.5263006,15.0954982,{'boundary': 'protected_area'}
way,205395446,,Gråskär,,58.4583935,16.9489359,"{'boundary': 'protected_area', 'name': 'Gråskär', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,205395499,,,,58.4806619,16.9792796,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,206259005,,,,58.3095547,16.8958196,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,206259062,,,,58.3530319,16.856364,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,206260174,,,,58.3634014,16.8322617,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,209256208,,Uppsala Vatten,,59.8749788,17.6279081,"{'boundary': 'protected_area', 'name': 'Uppsala Vatten'}"
way,214764890,,,,58.2106689,16.202108,{'boundary': 'protected_area'}
way,235059729,,Flintskärshällen,,58.0545536,16.8136198,"{'boundary': 'protected_area', 'name': 'Flintskärshällen', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,235059733,,,,58.1661811,16.8584401,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,235059734,,,,58.1584132,16.8627332,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,235393236,,Hästgrundet,,58.1933895,16.8602413,"{'boundary': 'protected_area', 'name': 'Hästgrundet', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'Bing'}"
way,235417340,,,,58.3186382,16.951375,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'Bing'}"
way,235554951,,,,58.3379415,17.0603855,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area'}"
way,235961770,,Bockskär,,58.3093444,17.0400489,"{'boundary': 'protected_area', 'name': 'Bockskär', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'Bing'}"
way,235961815,,,,58.2868821,17.0144802,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'Bing'}"
way,236630952,,,,58.3669085,16.9245769,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'Bing'}"
way,236630974,,,,58.3662563,16.9248214,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'Bing'}"
way,236630983,,,,58.3664995,16.9235235,"{'boundary': 'protected_area', 'natural': 'coastline', 'opening_hours': 'Jul 16-Mar 31', 'place': 'islet', 'protect_class': '4', 'protection_title': 'fågelskyddsområde', 'seamark:period_end': 'Jul 15', 'seamark:period_start': 'Apr 01', 'seamark:restricted_area:category': 'bird_sanctuary', 'seamark:restricted_area:restriction': 'no_entry', 'seamark:type': 'restricted_area', 'source': 'Bing'}"
